"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"02"	"W"	"301"	1	"Con1"	"LOB"	"SOC"	"D1a"	9594	7341	0.872181818181818	2599	5897	8496	6329	4382	4796	9178	0.956639566395664	4382	4613	8995	0.937565144882218	416	0.955796408458187	0.043360433604336	3	3	6	3	3	6	0	1	1	1	1	2	2	4	1133	1416	2549	0.980761831473644	1016	0	1016	0.172290995421401	2149	1416	3565	0.41960922787194	50	0.0192381685263563	0	0	50	0.00588512241054614	0.986168741355463	1	2	3	1	0	1	4	1	1	2	0	0	0	2	3415	2498	5913	0.934270816874704	416	0.0657291831252963	0.934270816874704	0	1	1	1	1	TRUE	TRUE	1	"1_a"	"right"	"1_b"	"left"	3375	3399	6774	3399	3375	0.49822852081488	"left"	"novel"
"02"	"W"	"301"	2	"Con2"	"LOB"	"NSOC"	"D2a"	7229	5346	0.657181818181818	2699	4647	7346	3781	5146	1766	6912	0.956148844930143	5146	1766	6912	0.956148844930143	0	1	0	2	2	4	2	2	4	0	0	0	0	NA	1	2	3	2566	133	2699	1	333	0	333	0.0716591349257586	2899	133	3032	0.412741628096923	0	0	0	0	0	0	1	1	1	2	1	0	1	3	1	0	1	0	0	0	1	2548	1233	3781	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"7_a"	"left"	"7_b"	"right"	2231	2898	5129	2231	2898	0.565022421524664	"left"	"familiar"
"02"	"W"	"301"	3	"Con3"	"NLOB"	"SOC"	"D1b"	6379	7123	0.579909090909091	2483	6913	9396	4113	2831	2532	5363	0.840727386737733	2831	2532	5363	0.840727386737733	750	0.877310649435629	0.117573287349114	3	3	6	3	3	6	1	0	1	1	1	2	2	4	1333	700	2033	0.81876761981474	66	550	616	0.0891074786633878	1399	1250	2649	0.281928480204342	450	0.18123238018526	0	0	450	0.0478927203065134	0.854791868344627	1	1	2	1	1	2	4	0	1	1	1	0	1	2	1781	1233	3014	0.732798443958181	750	0.182348650619985	0.800743889479277	1	0	1	1	1	TRUE	TRUE	1	"11_a"	"left"	"11_b"	"right"	1499	4832	6331	1499	4832	0.763228557889749	"right"	"novel"
"02"	"W"	"301"	4	"Con4"	"NLOB"	"NSOC"	"D2b"	6740	7279	0.612727272727273	1948	6578	8526	3748	2964	3776	6740	1	2231	3516	5747	0.852670623145401	0	1	0	2	3	5	2	3	5	0	0	0	0	NA	1	1	2	1415	533	1948	1	0	417	417	0.0633931286105199	1415	950	2365	0.277386816795684	0	0	0	0	0	0	1	1	1	2	0	1	1	3	0	1	1	0	0	0	1	1332	1300	2632	0.702241195304162	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"16_a"	"right"	"16_b"	"left"	2215	4712	6927	4712	2215	0.319763245272124	"right"	"familiar"
"02"	"W"	"301"	5	"Con4"	"NLOB"	"NSOC"	"D2b"	7458	7079	0.678	2348	7312	9660	4581	3264	3811	7075	0.948645749530705	2548	3495	6043	0.810270850093859	383	0.940398381574852	0.0513542504692947	2	3	5	2	3	5	0	0	0	1	0	1	1	2	1632	716	2348	1	0	767	767	0.104896061269147	1632	1483	3115	0.322463768115942	0	0	0	0	0	0	1	1	1	2	0	1	1	3	0	1	1	0	0	0	1	1766	1400	3166	0.691115476970094	383	0.0836061995197555	0.892082276697661	0	0	0	1	0	TRUE	TRUE	1	"13_a"	"left"	"13_b"	"right"	2531	3798	6329	2531	3798	0.600094801706431	"right"	"novel"
"02"	"W"	"301"	6	"Con2"	"LOB"	"NSOC"	"D2a"	4981	6965	0.452818181818182	716	6062	6778	2949	3598	1183	4781	0.959847420196748	3598	1183	4781	0.959847420196748	200	0.959847420196748	0.0401525798032524	2	2	4	2	2	4	1	0	1	1	1	0	2	2	716	0	716	1	833	0	833	0.137413394919169	1549	0	1549	0.228533490705223	0	0	0	0	0	0	1	1	0	1	1	0	1	2	0	0	0	0	0	0	0	1666	1083	2749	0.932180400135639	200	0.0678195998643608	0.932180400135639	0	0	0	1	0	TRUE	TRUE	1	"8_a"	"right"	"8_b"	"left"	2515	3563	6078	3563	2515	0.413787430075683	"right"	"familiar"
"02"	"W"	"301"	7	"Con3"	"NLOB"	"SOC"	"D1b"	5296	6186	0.481454545454545	2365	4930	7295	2315	2699	2114	4813	0.908799093655589	2699	2114	4813	0.908799093655589	483	0.908799093655589	0.0912009063444109	3	2	5	3	2	5	0	0	0	1	0	2	1	3	1050	1315	2365	1	0	0	0	0	1050	1315	2365	0.324194653872515	0	0	0	0	0	0	1	2	1	3	0	0	0	3	1	1	2	0	0	0	2	1033	799	1832	0.791360691144708	483	0.208639308855292	0.791360691144708	0	0	0	1	0	TRUE	TRUE	1	"10_a"	"left"	"10_b"	"right"	2465	2756	5221	2465	2756	0.527868224478069	"right"	"novel"
"02"	"W"	"301"	8	"Con1"	"LOB"	"SOC"	"D1a"	8744	4430	0.794909090909091	2682	4812	7494	5246	4781	3863	8644	0.988563586459286	4614	3697	8311	0.95048032936871	0	1	0	2	3	5	2	3	5	0	0	0	0	NA	1	1	2	2132	550	2682	1	733	0	733	0.152327514546966	2865	550	3415	0.455697891646651	0	0	0	0	0	0	1	1	1	2	1	0	1	3	0	1	1	0	0	0	1	3464	1515	4979	0.949104079298513	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"4_a"	"right"	"4_b"	"left"	1433	2548	3981	2548	1433	0.359959809093193	"left"	"novel"
"02"	"W"	"301"	9	"Con1"	"LOB"	"SOC"	"D1a"	0	1000	0	0	567	567	0	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	0	0	0	NA	FALSE	FALSE	0	"3_a"	"left"	"3_b"	"right"	567	433	1000	567	433	0.433	"left"	"familiar"
"02"	"W"	"301"	10	"Con3"	"NLOB"	"SOC"	"D1b"	7701	4163	0.700090909090909	2748	3847	6595	4515	3418	3965	7383	0.958706661472536	3418	3965	7383	0.958706661472536	0	1	0	3	3	6	3	3	6	0	0	0	0	NA	2	3	5	1266	1482	2748	1	1016	250	1266	0.32908760072784	2282	1732	4014	0.608642911296437	0	0	0	0	0	0	1	2	1	3	1	1	2	5	1	1	2	0	1	1	3	2032	2483	4515	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"12_a"	"right"	"12_b"	"left"	999	3164	4163	3164	999	0.239971174633678	"right"	"familiar"
