"ID"	"Sex"	"Age_Days"	"Trial"	"Condition"	"Con_Object"	"Con_SocInt"	"Dyad"	"Overall_LT_ScreenFam"	"Overall_LT_ScreenPrefLook"	"Inter_PropOverall_LT_Screen"	"InterPhase_LT_Soc_Begin"	"InterPhase_LT_Soc_End"	"InterPhase_LT_Soc_Total"	"InterPhase_LT_Gazing"	"Inter_LT_ActorLeft"	"Inter_LT_ActorRight"	"Inter_LT_ActorsTotal"	"Inter_LT_Actors_PROP"	"Inter_LT_FaceLeft"	"Inter_LT_FaceRight"	"Inter_LT_FacesTotal"	"Inter_LT_Faces_PROP"	"Inter_LT_Object"	"Inter_LT_FacesObject_PROP"	"Inter_LT_Object_PROP"	"Inter_LF_FaceLeft"	"Inter_LF_FaceRight"	"Inter_LF_FacesTotal"	"Inter_LF_FaceLeft_Overall"	"Inter_LF_FaceRight_Overall"	"Inter_LF_FacesTotal_Overall"	"Inter_ObjectOriginFaceLeft"	"Inter_ObjectOriginFaceRight"	"Inter_ObjectOriginFaceTotal"	"Inter_LF_Object"	"Inter_ObjectOriginFaceTotal_Gazing_SocialPROP"	"Inter_FacesGazeshiftsLeftRight"	"Inter_FacesGazeshiftsRightLeft"	"Inter_FacesGazeshiftsRightTotal"	"InterPhase_LT_FaceLeft_Soc_Begin"	"InterPhase_LT_FaceRight_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin"	"InterPhase_LT_FaceTotal_Soc_Begin_PROP"	"InterPhase_LT_FaceLeft_Soc_End"	"InterPhase_LT_FaceRight_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End"	"InterPhase_LT_FaceTotal_Soc_End_PROP"	"InterPhase_LT_FaceLeft_Soc_Total"	"InterPhase_LT_FaceRight_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total"	"InterPhase_LT_FaceTotal_Soc_Total_PROP"	"InterPhase_LT_Object_Soc_Begin"	"InterPhase_LT_Object_Soc_Begin_PROP"	"InterPhase_LT_Object_Soc_End"	"InterPhase_LT_Object_Soc_End_PROP"	"InterPhase_LT_Object_Soc_Total"	"InterPhase_LT_Object_Soc_Total_PROP"	"InterPhase_LT_FacesObject_PROP"	"InterPhase_LF_FaceLeft_Begin"	"InterPhase_LF_FaceRight_Begin"	"InterPhase_LF_FacesTotal_Begin"	"InterPhase_LF_FaceLeft_End"	"InterPhase_LF_FaceRight_End"	"InterPhase_LF_FacesTotal_End"	"InterPhase_LF_FacesTotal"	"InterPhase_FacesGazeshiftsLeftRight_Begin"	"InterPhase_FacesGazeshiftsRightLeft_Begin"	"InterPhase_FacesGazeshiftsRightTotal_Begin"	"InterPhase_FacesGazeshiftsLeftRight_End"	"InterPhase_FacesGazeshiftsRightLeft_End"	"InterPhase_FacesGazeshiftsRightTotal_End"	"InterPhase_FacesGazeshiftsRightTotal_TOTAL"	"InterPhase_LT_FaceLeft_Gazing"	"InterPhase_LT_FaceRight_Gazing"	"InterPhase_LT_FaceTotal_Gazing"	"InterPhase_LT_FaceTotal_Gazing_PROP"	"InterPhase_LT_Object_Gazing"	"InterPhase_LT_Object_Gazing_PROP"	"InterPhase_LT_FacesObject_Gazing_PROP"	"InterPhase_ObjectOriginFaceLeft_Gazing"	"InterPhase_ObjectOriginFaceRight_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing"	"InterPhase_LF_Object_Gazing"	"InterPhase_ObjectOriginFaceTotal_Gazing_SocialPROP"	"InterPhase_Checker_Soc"	"InterPhase_Checker_Gazing"	"InterPhase_Checker_valid"	"PrefLook_Object_Fam"	"PrefLook_Object_Fam_Pos"	"PrefLook_Object_Nov"	"PrefLook_Object_Nov_Pos"	"PrefLook_LT_Object_Left"	"PrefLook_LT_Object_Right"	"PrefLook_LT_Total"	"PrefLook_LT_Object_Fam"	"PrefLook_LT_Object_Nov"	"PrefLook_LT_Object_Nov_PROP"	"PrefLook_FL"	"PrefLook_FL_Meaning"
"31"	"M"	"288"	1	"Con3"	"NLOB"	"SOC"	"D2b"	8818	9173	0.801636363636364	2665	8493	11158	5246	4150	4131	8281	0.939101837151281	3767	4131	7898	0.895667951916534	0	1	0	4	5	9	4	5	9	0	0	0	0	NA	1	3	4	1000	1516	2516	0.944090056285178	283	717	1000	0.117744024490757	1283	2233	3516	0.315110234809106	0	0	0	0	0	0	1	2	1	3	1	1	2	5	1	1	2	0	1	1	3	1931	2632	4563	0.869805566145635	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"1_b"	"right"	"1_a"	"left"	6393	2057	8450	2057	6393	0.756568047337278	"left"	"novel"
"31"	"M"	"288"	2	"Con4"	"NLOB"	"NSOC"	"D1b"	4925	7088	0.447727272727273	2697	6428	9125	1499	3846	566	4412	0.895837563451777	2747	566	3313	0.672690355329949	0	1	0	3	1	4	3	1	4	0	0	0	0	NA	0	1	1	1032	566	1598	0.592510196514646	0	0	0	0	1032	566	1598	0.175123287671233	0	0	0	0	0	0	1	2	1	3	0	0	0	3	0	1	1	0	0	0	1	816	250	1066	0.711140760507005	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"5_b"	"right"	"5_a"	"left"	3680	2365	6045	2365	3680	0.608767576509512	"left"	"novel"
"31"	"M"	"288"	3	"Con1"	"LOB"	"SOC"	"D2a"	5243	3963	0.476636363636364	2715	3780	6495	2347	3848	1016	4864	0.927713141331299	3398	1016	4414	0.841884417318329	0	1	0	2	2	4	2	2	4	0	0	0	0	NA	1	1	2	1482	783	2265	0.834254143646409	0	0	0	0	1482	783	2265	0.348729792147806	0	0	0	0	0	0	1	2	1	3	0	0	0	3	0	1	1	0	0	0	1	1299	349	1648	0.702172986791649	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"9_b"	"left"	"9_a"	"right"	2648	799	3447	2648	799	0.23179576443284	"left"	"familiar"
"31"	"M"	"288"	4	"Con2"	"LOB"	"NSOC"	"D1a"	10060	4635	0.914545454545455	2847	5229	8076	6578	4882	4579	9461	0.940457256461233	4882	4579	9461	0.940457256461233	0	1	0	4	2	6	4	2	6	0	0	0	0	NA	2	2	4	433	2414	2847	1	950	33	983	0.187990055459935	1383	2447	3830	0.474244675581971	0	0	0	0	0	0	1	1	1	2	1	1	2	4	1	0	1	0	1	1	2	3448	3130	6578	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"13_b"	"left"	"13_a"	"right"	3663	516	4179	3663	516	0.123474515434314	"left"	"familiar"
"31"	"M"	"288"	5	"Con4"	"NLOB"	"NSOC"	"D1b"	3773	4030	0.343	2015	4030	6045	217	2782	716	3498	0.927113702623907	2082	716	2798	0.741584945666578	0	1	0	2	1	3	2	1	3	0	0	0	0	NA	0	1	1	599	716	1315	0.652605459057072	0	0	0	0	599	716	1315	0.217535153019024	0	0	0	0	0	0	1	2	1	3	0	0	0	3	0	1	1	0	0	0	1	217	0	217	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"6_b"	"left"	"6_a"	"right"	1466	2564	4030	1466	2564	0.636228287841191	"left"	"familiar"
"31"	"M"	"288"	6	"Con3"	"NLOB"	"SOC"	"D2b"	7470	2371	0.679090909090909	2282	2965	5247	4214	3547	1965	5512	0.737884872824632	3547	1515	5062	0.67764390896921	1299	0.795786825970759	0.173895582329317	3	2	5	3	2	5	2	0	2	3	0.666666666666667	1	0	1	433	1399	1832	0.802804557405784	183	0	183	0.0617200674536256	616	1399	2015	0.384028968934629	0	0	283	0.0954468802698145	283	0.053935582237469	0.876849434290688	1	2	3	1	0	1	4	1	0	1	0	0	0	1	1582	533	2115	0.501898433792122	1299	0.308258186995729	0.619507908611599	2	0	2	3	0.666666666666667	TRUE	TRUE	1	"2_b"	"right"	"2_a"	"left"	1249	783	2032	783	1249	0.614665354330709	"left"	"novel"
"31"	"M"	"288"	7	"Con1"	"LOB"	"SOC"	"D2a"	6295	5471	0.572272727272727	2764	3581	6345	3481	3613	0	3613	0.573947577442415	2947	0	2947	0.468149324861001	2549	0.536208151382824	0.404924543288324	4	0	4	4	0	4	1	0	1	3	0.333333333333333	0	0	0	1899	0	1899	0.687047756874095	0	0	0	0	1899	0	1899	0.299290780141844	216	0.0781476121562952	0	0	216	0.0340425531914894	0.897872340425532	2	0	2	0	0	0	2	0	0	0	0	0	0	0	899	0	899	0.258259120942258	2299	0.660442401608733	0.281113195747342	0	0	0	2	0	TRUE	TRUE	1	"10_b"	"left"	"10_a"	"right"	3181	1366	4547	3181	1366	0.300417857928304	"right"	"novel"
"31"	"M"	"288"	8	"Con2"	"LOB"	"NSOC"	"D1a"	7586	1582	0.689636363636364	2682	1582	4264	3949	5296	2199	7495	0.988004218296863	4779	1949	6728	0.886896915370419	0	1	0	4	2	6	4	2	6	0	0	0	0	NA	1	1	2	1915	534	2449	0.913124533929903	0	0	0	0	1915	534	2449	0.574343339587242	0	0	0	0	0	0	1	2	1	3	0	0	0	3	1	0	1	0	0	0	1	1466	1949	3415	0.864775892631046	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"14_b"	"right"	"14_a"	"left"	1182	0	1182	0	1182	1	"left"	"novel"
"31"	"M"	"288"	9	"Con3"	"NLOB"	"SOC"	"D2b"	3893	2315	0.353909090909091	1965	2315	4280	100	3564	0	3564	0.91548933984074	3031	0	3031	0.778576932956589	0	1	0	2	0	2	2	0	2	0	0	0	0	NA	0	0	0	1432	0	1432	0.728753180661578	0	0	0	0	1432	0	1432	0.334579439252336	0	0	0	0	0	0	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	100	0	100	1	0	0	1	0	0	0	0	NA	TRUE	TRUE	1	"3_b"	"left"	"3_a"	"right"	1566	666	2232	1566	666	0.298387096774194	"left"	"familiar"
"31"	"M"	"288"	10	"Con2"	"LOB"	"NSOC"	"D1a"	9831	1246	0.893727272727273	2632	3514	6146	7410	5934	2565	8499	0.864510222764724	5863	2565	8428	0.857288170074255	499	0.944102161980509	0.0507578069372393	5	4	9	5	4	9	1	0	1	2	0.5	1	3	4	1383	1116	2499	0.949468085106383	750	0	750	0.213431986340353	2133	1116	3249	0.528636511552229	0	0	0	0	0	0	1	3	2	5	1	0	1	6	1	2	3	0	0	0	3	3297	1799	5096	0.687719298245614	499	0.0673414304993252	0.910813226094727	1	0	1	2	0.5	TRUE	TRUE	1	"15_b"	"left"	"15_a"	"right"	549	183	732	549	183	0.25	"left"	"familiar"
