ID	Sex	Age_Days	Trial	Condition	Con_Object	Con_SocInt	Dyad	Overall_LT_ScreenFam	Overall_LT_ScreenPrefLook	Inter_PropOverall_LT_Screen	InterPhase_LT_Soc_Begin	InterPhase_LT_Soc_End	InterPhase_LT_Soc_Total	InterPhase_LT_Gazing	Inter_LT_ActorLeft	Inter_LT_ActorRight	Inter_LT_ActorsTotal	Inter_LT_Actors_PROP	Inter_LT_FaceLeft	Inter_LT_FaceRight	Inter_LT_FacesTotal	Inter_LT_Faces_PROP	Inter_LT_Object	Inter_LT_FacesObject_PROP	Inter_LT_Object_PROP	InterPhase_LT_FaceLeft_Soc_Begin	InterPhase_LT_FaceRight_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin	InterPhase_LT_FaceTotal_Soc_Begin_PROP	InterPhase_LT_FaceLeft_Soc_End	InterPhase_LT_FaceRight_Soc_End	InterPhase_LT_FaceTotal_Soc_End	InterPhase_LT_FaceTotal_Soc_End_PROP	InterPhase_LT_FaceLeft_Soc_Total	InterPhase_LT_FaceRight_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total	InterPhase_LT_FaceTotal_Soc_Total_PROP	InterPhase_LT_Object_Soc_Begin	InterPhase_LT_Object_Soc_Begin_PROP	InterPhase_LT_Object_Soc_End	InterPhase_LT_Object_Soc_End_PROP	InterPhase_LT_Object_Soc_Total	InterPhase_LT_Object_Soc_Total_PROP	InterPhase_LT_FaceLeft_Gazing	InterPhase_LT_FaceRight_Gazing	InterPhase_LT_FaceTotal_Gazing	InterPhase_LT_FaceTotal_Gazing_PROP	InterPhase_LT_Object_Gazing	InterPhase_LT_Object_Gazing_PROP	InterPhase_Checker_Soc	InterPhase_Checker_Gazing	InterPhase_Checker_valid	PrefLook_Object_Fam	PrefLook_Object_Fam_Pos	PrefLook_Object_Nov	PrefLook_Object_Nov_Pos	PrefLook_LT_Object_Left	PrefLook_LT_Object_Right	PrefLook_LT_Total	PrefLook_LT_Object_Fam	PrefLook_LT_Object_Nov	PrefLook_LT_Object_Nov_PROP	PrefLook_FL	PrefLook_FL_Meaning
10	M	11	1	Con1	LOB	SOC	D1a	6849	7427	0.622636363636364	2509	7699	10208	3933	1325	2984	4309	0.629142940575266	1325	2984	4309	0.629142940575266	2025	0.680296810862015	0.295663600525624	1000	975	1975	0.787166201673974	0	150	150	0.0194830497467204	1000	1125	2125	0.208170062695925	534	0.212833798326026	175	0.0227302247045071	709	0.069455329153605	325	1025	1350	0.34324942791762	1933	0.491482329010933	TRUE	TRUE	1	1_a	left	1_b	right	1933	4900	6833	1933	4900	0.717108151617152	right	novel
10	M	11	2	Con2	LOB	NSOC	D2a	7160	4036	0.650909090909091	2300	3032	5332	4343	2267	2943	5210	0.727653631284916	2267	2943	5210	0.727653631284916	1950	0.727653631284916	0.272346368715084	2267	0	2267	0.985652173913043	0	0	0	0	2267	0	2267	0.42516879219805	33	0.0143478260869565	0	0	33	0.00618904726181545	708	1968	2676	0.616163941975593	1667	0.383836058024407	TRUE	TRUE	1	7_a	right	7_b	left	875	1100	1975	1100	875	0.443037974683544	left	novel
10	M	11	3	Con3	NLOB	SOC	D1b	6682	7288	0.607454545454545	2909	6200	9109	3558	475	5741	6216	0.930260401077522	475	5741	6216	0.930260401077522	0	1	0	0	2909	2909	1	317	150	467	0.0753225806451613	317	3059	3376	0.370622461302009	0	0	0	0	0	0	475	2900	3375	0.948566610455312	0	0	TRUE	TRUE	1	14_a	right	14_b	left	4592	2353	6945	2353	4592	0.661195104391649	left	novel
10	M	11	4	Con4	NLOB	NSOC	D2b	7444	5241	0.676727272727273	2542	5468	8010	4393	3083	342	3425	0.460102095647501	3083	217	3300	0.443310048361096	3168	0.510204081632653	0.425577646426652	1875	0	1875	0.737608182533438	0	0	0	0	1875	0	1875	0.234082397003745	667	0.262391817466562	742	0.135698610095099	1409	0.175905118601748	1225	217	1442	0.328249487821534	2376	0.540860459822445	TRUE	TRUE	1	19_a	left	19_b	right	1942	2751	4693	1942	2751	0.58619220115065	right	novel
10	M	11	5	Con4	NLOB	NSOC	D2b	8156	6242	0.741454545454545	2625	6433	9058	5060	2942	1176	4118	0.504904364884747	2942	1101	4043	0.495708680725846	3518	0.534717629943129	0.431338891613536	2617	0	2617	0.996952380952381	0	350	350	0.0544069640914037	2617	350	2967	0.327555751821594	8	0.00304761904761905	150	0.0233172703248873	158	0.0174431441819386	742	1101	1843	0.364229249011858	2909	0.574901185770751	TRUE	TRUE	1	20_a	left	20_b	right	2001	4032	6033	2001	4032	0.668324216807558	right	novel
10	M	11	6	Con2	LOB	NSOC	D2a	7590	4143	0.69	2775	5027	7802	4511	5810	0	5810	0.765480895915678	5693	0	5693	0.750065876152833	1393	0.803415184871578	0.183530961791831	2759	0	2759	0.994234234234234	717	0	717	0.142629799084941	3476	0	3476	0.445526788003076	16	0.00576576576576577	0	0	16	0.00205075621635478	3543	0	3543	0.785413433828419	910	0.201729106628242	TRUE	TRUE	1	8_a	right	8_b	left	925	2776	3701	2776	925	0.249932450689003	right	familiar
10	M	11	7	Con1	LOB	SOC	D1a	5336	4981	0.485090909090909	2309	5533	7842	2451	1775	0	1775	0.332646176911544	1775	0	1775	0.332646176911544	2769	0.390625	0.518928035982009	1517	0	1517	0.656994369857081	0	0	0	0	1517	0	1517	0.193445549604693	625	0.27067994802945	383	0.0692210374118923	1008	0.128538638102525	417	0	417	0.170134638922889	1525	0.62219502243982	TRUE	TRUE	1	2_a	right	2_b	left	2967	1116	4083	1116	2967	0.726671565025716	right	familiar
10	M	11	8	Con3	NLOB	SOC	D1b	5775	3936	0.525	2466	4367	6833	3058	857	100	957	0.165714285714286	857	0	857	0.148398268398268	4326	0.165348253907004	0.749090909090909	358	0	358	0.145174371451744	317	0	317	0.0725898786352187	675	0	675	0.098785306600322	2108	0.854825628548256	0	0	2108	0.308502853797746	341	0	341	0.111510791366906	2509	0.820470896010464	TRUE	TRUE	1	15_b	right	15_a	left	1608	1967	3575	1967	1608	0.44979020979021	right	familiar
10	M	11	9	Con3	NLOB	SOC	D1b	7863	4052	0.714818181818182	2392	4225	6617	4850	924	1083	2007	0.255246089278901	924	883	1807	0.22981050489635	5624	0.243170501951285	0.715248632837339	0	0	0	0	0	0	0	0	0	0	0	0	2392	1	0	0	2392	0.361493123772102	633	883	1516	0.312577319587629	2992	0.616907216494845	TRUE	TRUE	1	16_a	right	16_b	left	2066	1417	3483	1417	2066	0.593166810221074	right	familiar
10	M	11	10	Con1	LOB	SOC	D1a	3234	2199	0.294	1018	2008	3026	809	292	492	784	0.242424242424242	292	492	784	0.242424242424242	2133	0.268769283510456	0.659554730983302	134	0	134	0.131630648330059	0	0	0	0	134	0	134	0.0442828816920026	884	0.868369351669941	0	0	884	0.292134831460674	67	492	559	0.69097651421508	250	0.30902348578492	TRUE	TRUE	1	3_a	left	3_b	right	408	1450	1858	408	1450	0.780409041980624	right	novel
